PlaceId,Name,Type,FeatureType,FeatureId,FeatureName,FeatureCategory
0c5f0af6-79d9-4f91-8eae-6a792f7bc13d,,,Building,0c5f0af6-79d9-4f91-8eae-6a792f7bc13d,TheBank — London,building
341797d2-bf21-44c8-adb9-da4b3630ab54,,,Level,341797d2-bf21-44c8-adb9-da4b3630ab54,Ground Floor,unspecified
5a41f85f-a616-42bf-a3ec-ded866a57575,,,Level,5a41f85f-a616-42bf-a3ec-ded866a57575,First Floor,unspecified
,,,Unit,9ab5eb5d-ea29-5a0c-90b8-2d764cae9043,LGW-01,desk
,,,Unit,a265b397-66f6-53bb-94ec-efe40db0bcd9,LGW-02,desk
,,,Unit,858cdadc-1498-54d8-a114-ce1bc7966787,LGW-03,desk
,,,Unit,459dddbb-43a9-5745-8510-f889700507b2,LGW-04,desk
,,,Unit,8aacecbc-4aba-517d-8263-0f4dbfe6d285,LGW-05,desk
,,,Unit,915378df-cb63-54c8-8928-5d7fd18a198f,LGQ-01,desk
,,,Unit,405a1b45-18a4-5291-9bff-3578af603327,LGQ-02,desk
,,,Unit,26da18c3-d13b-56e9-be2b-c9e775fd06fd,LGQ-03,desk
,,,Unit,6fe3e5a2-23c7-5eca-9808-52f0079946b6,LGQ-04,desk
,,,Unit,e63518f8-27c7-5fb3-b8fc-d11cfc124025,LGQ-05,desk
,,,Unit,cbd1fca3-f6b0-57bd-9496-1120b24aac65,LGC-01,desk
,,,Unit,df528157-b024-5d1e-9201-9019210aa556,LGC-02,desk
,,,Unit,2e14f837-5fbe-5c6c-bf94-656a4870dcbb,LGC-03,desk
,,,Unit,2999146c-29f9-50f3-9156-d06d2b22ebcf,LGC-04,desk
,,,Unit,fe9fbbd0-3520-50cd-a229-f342092737da,LGC-05,desk
,,,Unit,97983b57-f0de-54ee-a686-6d17a35fb90c,LGC-01,desk
,,,Unit,756c2ebc-a05f-58f4-85fd-6f39c5fc132c,LGC-02,desk
,,,Unit,3bf48a60-786e-5c0c-9dbb-074ccb1668b4,LGC-03,desk
,,,Unit,7dadb341-e5a7-5e3e-b849-db541a683dbd,LGC-04,desk
,,,Unit,eaba88a6-ad54-5d19-9180-2daeb1095634,LGC-05,desk
,,,Unit,5b1a2baf-e95c-570f-88f9-0cd75dd19134,LGC-06,desk
,,,Unit,7a965cb6-1cea-5cbc-bfc8-c2aa733aa28d,LGC-07,desk
,,,Unit,bb1c392f-c37d-5093-8a4f-ef536f48150c,LGC-08,desk
,,,Unit,6ce089f1-cd03-5f20-85aa-5e6be9f2000d,LGE-01,desk
,,,Unit,61497799-8987-598c-9f71-3272f1c49111,LGE-02,desk
,,,Unit,474faae5-b758-512f-8f84-2e0de3873326,LGE-03,desk
,,,Unit,48e5b05c-8c12-523d-aa5e-09ba6bd78844,LGE-04,desk
,,,Unit,d9621340-19e9-5c8a-9631-82e155c8a927,LGS-01,desk
,,,Unit,804047f8-eb90-5a88-bdef-3bb1fd8061e8,LGS-02,desk
,,,Unit,785a184d-8027-57c2-8b05-8873d6b9693f,LGS-03,desk
,,,Unit,f4787d1b-a6d3-5438-ad76-c945f8b5ffd6,LGS-04,desk
,,,Unit,1315bdf7-cf94-5604-bfb1-114d07deb9b9,LFW-01,desk
,,,Unit,7a73424b-b614-5cd1-85f9-f041e931489e,LFW-02,desk
,,,Unit,14ef7a5e-4d4b-5d76-8036-0873a90ada22,LFW-03,desk
,,,Unit,d5a35925-4230-50f7-9cfe-9560904fc54e,LFW-04,desk
,,,Unit,4b778193-1922-5ee9-a5f6-9a93810c17e6,LFW-05,desk
,,,Unit,3a8b64f0-bd0b-5c6a-bea0-47ba771d3c4a,LFQ-01,desk
,,,Unit,7456c826-10d1-5033-9ae9-f7f51dfa3696,LFQ-02,desk
,,,Unit,703030b0-dcf6-5f66-b193-8cecf60fac67,LFQ-03,desk
,,,Unit,f06db1a9-56b5-5782-9e8e-a4e624b2f633,LFQ-04,desk
,,,Unit,89abbfe8-d09d-55db-bc84-886f3db597b6,LFQ-05,desk
,,,Unit,07aebb27-b6d3-572a-9d50-89b25b581f2c,LFC-01,desk
,,,Unit,ae8d70ee-6b22-5f3b-acc0-4f5fd9fe4933,LFC-02,desk
,,,Unit,6ffcc502-a193-56ad-8296-70e97e9153d1,LFC-03,desk
,,,Unit,f9e4d7c2-2901-57fa-8ea9-e264ab5d42f6,LFC-04,desk
,,,Unit,bcfb73dc-c547-50d6-acc8-1d48751c4ac1,LFC-05,desk
,,,Unit,18994e9a-89d8-5c2d-89bf-c8c195857722,LFC-01,desk
,,,Unit,c1fbdfc2-eafd-5b49-9c26-76208ee968e3,LFC-02,desk
,,,Unit,43f46886-82ed-530c-a630-b050a1419f1a,LFC-03,desk
,,,Unit,df2efd98-3af8-5afc-9cd1-c46af0d0aec6,LFC-04,desk
,,,Unit,a5137d0f-9871-5956-bf10-949bdbb55865,LFC-05,desk
,,,Unit,c39ac18e-8cbf-5edf-8f47-0a1c72e1d5c2,LFC-06,desk
,,,Unit,03f616ae-2518-5326-b492-f66a78f13c10,LFC-07,desk
,,,Unit,6716cee0-e420-5cf0-a9f3-f51bc2a7c744,LFC-08,desk
,,,Unit,14185d4d-29b2-5a27-b85e-c5845498428e,LFE-01,desk
,,,Unit,763a6555-e70a-5a9c-809b-6de38ba868c8,LFE-02,desk
,,,Unit,6a1ac4bf-2499-5659-ad2f-812990a047a0,LFE-03,desk
,,,Unit,22fab606-b709-5a10-8b9b-0e63b87dbd57,LFE-04,desk
,,,Unit,41db6b48-0e84-5966-b7f9-82d18a70c749,LFS-01,desk
,,,Unit,03e898c0-acd7-58bc-8d33-d62d9e275af2,LFS-02,desk
,,,Unit,50063959-15e4-5838-be9d-2936d66b7f64,LFS-03,desk
,,,Unit,00d456ea-0940-5abf-8afb-ad3e4429cc52,LFS-04,desk
,,,Section,b9726ad2-b817-5ab9-8d2e-c99b4cd95e33,Window Bank,openspace
,,,Section,c14312df-db8b-5ffa-b9ef-24866e5ef330,Quiet Zone,openspace
,,,Section,fbe14bcd-3c7e-55f9-9cba-1ab0b90bdcb9,Collaboration Zone,openspace
